Time,RPM,Speed,nGear,Throttle,Brake,X,Y,Z,Distance
0 days 00:00:00,11456,321,8,100,False,-1379.0989623806333,-742.8737740150917,1871.0860690203456,0.0
0 days 00:00:00.184000,11476,322,8,100,False,-1365.0,-575.0,1872.0,16.45777777777778
0 days 00:00:00.213000,11515,323,8,100,False,-1362.1536032925658,-541.8738852723676,1872.1313433081887,19.059722222222224
0 days 00:00:00.424000,11548,324,8,100,False,-1340.0,-287.0,1873.0,38.04972222222222
0 days 00:00:00.573000,11582,326,8,100,False,-1331.0487557079448,-183.6690329270982,1873.561057359995,51.5425
0 days 00:00:00.684000,11618,327,8,100,False,-1325.0,-115.0,1874.0,61.62500000000001
0 days 00:00:00.773000,11654,328,8,100,False,-1318.7042119282169,-44.849463929697464,1874.3868096254273,69.7338888888889
0 days 00:00:00.904000,11682,328,8,100,False,-1308.0,74.0,1875.0,81.66944444444445
0 days 00:00:01.053000,11711,329,8,100,False,-1295.4725355646015,214.98920062621738,1875.7368040899528,95.2863888888889
0 days 00:00:01.104000,11750,330,8,100,False,-1291.0,266.0,1876.0,99.9613888888889
0 days 00:00:01.373000,11789,332,8,100,False,-1265.621389637033,560.9101870719128,1877.480878475912,124.76916666666668
0 days 00:00:01.464000,11801,332,8,100,False,-1257.0,661.0,1878.0,133.1613888888889
0 days 00:00:01.613000,11813,332,8,100,False,-1243.2548102545293,819.17737940254,1878.8589113574162,146.9025
0 days 00:00:01.844000,11851,334,8,100,False,-1225.0,1030.0,1880.0,168.33416666666668
0 days 00:00:02.094000,11889,336,8,100,False,-1212.2988756179386,1184.204670203135,1880.694360578796,191.6675
0 days 00:00:02.164000,11926,336,8,100,False,-1208.0,1234.0,1881.0,198.20083333333335
0 days 00:00:02.413000,11964,337,8,100,False,-1187.3081703789019,1463.8028781296932,1882.6971592806417,221.51
0 days 00:00:02.464000,11968,337,8,100,False,-1183.0,1513.0,1883.0,226.28416666666666
0 days 00:00:02.573000,11972,338,8,100,False,-1174.291302616788,1615.7898810099398,1883.4993970664486,236.51805555555555
0 days 00:00:02.704000,11972,338,8,100,False,-1164.0,1738.0,1884.0,248.81750000000002
0 days 00:00:02.853000,11972,338,8,100,False,-1151.515698614385,1879.1197599938826,1884.6878601466778,262.80694444444447
0 days 00:00:02.924000,11995,338,8,100,False,-1146.0,1943.0,1885.0,269.47305555555556
0 days 00:00:03.013000,12018,339,8,100,False,-1139.8926456178722,2017.6487078693222,1885.3427258712763,277.8538888888889
0 days 00:00:03.144000,12047,339,8,100,False,-1129.0,2150.0,1886.0,290.18972222222226
0 days 00:00:03.214000,12076,339,8,100,False,-1119.9339139632532,2253.614106643252,1886.5903026958304,296.7813888888889
0 days 00:00:03.364000,12080,339,8,100,False,-1099.0,2488.0,1888.0,310.9063888888889
0 days 00:00:03.453000,12085,340,8,100,False,-1092.094062565342,2566.3997800136485,1888.4873440228625,319.31194444444446
0 days 00:00:03.693000,12117,343,8,100,False,-1083.7695773790515,2667.810901376156,1888.970212840516,342.17861111111114
0 days 00:00:03.704000,12117,342,8,100,False,-1083.0,2677.0,1889.0,343.22361111111115
0 days 00:00:03.853000,12117,342,8,100,False,-1068.0187803782023,2854.1893933091933,1889.5292842264093,357.3786111111111
0 days 00:00:03.984000,12148,342,8,100,False,-1054.0,3018.0,1890.0,369.8236111111111
0 days 00:00:04.173000,12179,343,8,100,False,-1041.3136384649915,3161.762287609465,1890.426680071508,387.8311111111111
0 days 00:00:04.305000,12185,343,8,100,False,-1034.0,3246.0,1891.0,400.40777777777777
0 days 00:00:04.374000,12191,343,8,100,False,-1029.759461242043,3296.782768397461,1891.5016346213474,406.9819444444444
0 days 00:00:04.533000,12194,344,8,100,False,-1016.4544407190409,3456.873671940464,1892.908097007289,422.1752777777778
0 days 00:00:04.545000,12204,344,8,100,False,-1015.0,3474.0,1893.0,423.32194444444445
0 days 00:00:04.705000,12215,344,8,100,False,-992.0,3742.0,1894.0,438.61083333333335
0 days 00:00:04.854000,12226,345,8,100,False,-978.2354688327268,3903.0674340955466,1894.6839506069948,452.89
0 days 00:00:05.053000,12223,344,8,100,False,-970.7872723795591,3990.710251365794,1895.4186032978005,471.9055555555555
0 days 00:00:05.164000,12248,345,8,100,False,-964.0,4066.0,1896.0,482.5430555555555
0 days 00:00:05.293000,12273,346,8,100,False,-952.8832875707736,4187.64913623701,1896.8265955000782,494.94138888888887
0 days 00:00:05.324000,12273,345,8,100,False,-950.0,4220.0,1897.0,497.91222222222217
0 days 00:00:05.533000,12273,345,8,100,False,-930.2367834693608,4452.723660075094,1897.7376508024004,517.9413888888889
0 days 00:00:05.604000,12291,346,8,100,False,-924.0,4526.0,1898.0,524.7652777777778
0 days 00:00:05.774000,12309,348,8,100,False,-910.7828722720969,4675.5210058531575,1898.873644546616,541.1986111111111
0 days 00:00:05.964000,12306,347,8,100,False,-897.0,4833.0,1900.0,559.5125
0 days 00:00:05.974000,12303,347,8,100,False,-896.24286161441,4842.094871465754,1900.055264812444,560.4763888888889
0 days 00:00:06.204000,12316,347,8,100,False,-878.0,5064.0,1901.0,582.6458333333333
0 days 00:00:06.293000,12329,348,8,100,False,-870.56996492157,5145.587071684873,1900.9585857691059,591.2491666666666
0 days 00:00:06.364000,12336,348,8,100,False,-864.0,5218.0,1901.0,598.1125
0 days 00:00:06.644000,12343,348,8,100,False,-833.0,5585.0,1903.0,625.1791666666667
0 days 00:00:06.653000,12351,349,8,100,False,-832.1674008733265,5594.870591180519,1903.0617710800677,626.0516666666666
0 days 00:00:07.013000,12403,349,8,100,False,-809.4811338985769,5854.615872283071,1904.7049231319847,660.9516666666666
0 days 00:00:07.064000,12393,349,8,100,False,-806.0,5894.0,1905.0,665.8958333333333
0 days 00:00:07.244000,12384,349,8,100,False,-791.0,6068.0,1906.0,683.3458333333332
0 days 00:00:07.252000,12375,350,8,100,False,-790.2117573453654,6077.60263907175,1906.0051524764249,684.123611111111
0 days 00:00:07.284000,12398,350,8,100,False,-787.0,6117.0,1906.0,687.2347222222221
0 days 00:00:07.493000,12421,351,8,100,False,-768.1756998468078,6344.09333677192,1906.7408848037792,707.6122222222222
0 days 00:00:07.664000,12388,350,8,100,False,-755.0,6500.0,1908.0,724.237222222222
0 days 00:00:07.853000,12356,350,8,100,False,-741.9803091645565,6653.445452736889,1909.6210001645961,742.612222222222
0 days 00:00:07.924000,12334,348,8,100,False,-737.0,6713.0,1910.0,749.4755555555554
0 days 00:00:08.133000,12312,347,8,100,False,-721.1521525327505,6906.634561919403,1909.9226055011477,769.620833333333
0 days 00:00:08.284000,12062,346,8,99,False,-709.0,7049.0,1911.0,784.133611111111
0 days 00:00:08.333000,11813,346,8,99,True,-704.9538578015915,7094.203215284048,1911.8285305198633,788.8430555555555
0 days 00:00:08.344000,11305,324,8,49,True,-704.0,7105.0,1912.0,789.8330555555553
0 days 00:00:08.573000,10798,302,8,0,True,-680.5150081319167,7389.308131221905,1912.9494624167294,809.043611111111
0 days 00:00:08.644000,10981,283,8,0,True,-675.0,7458.0,1913.0,814.6249999999999
0 days 00:00:08.853000,11165,265,8,0,True,-667.8528679436761,7548.438533473523,1913.6743449507915,830.0097222222221
0 days 00:00:08.944000,11006,240,8,0,True,-665.0,7582.0,1914.0,836.0763888888888
0 days 00:00:09.093000,10848,215,7,0,True,-657.4604608376997,7666.666784965884,1914.4044927650514,844.9749999999999
0 days 00:00:09.224000,11015,202,7,0,True,-650.0,7747.0,1915.0,852.3255555555555
0 days 00:00:09.364000,11182,189,7,0,True,-643.0,7818.0,1916.0,859.6755555555555
0 days 00:00:09.413000,11350,176,7,0,True,-640.6459273382785,7841.401297900624,1916.1447579234932,862.0711111111111
0 days 00:00:09.584000,11179,167,7,0,True,-632.0,7919.0,1916.0,870.0036111111111
0 days 00:00:09.653000,11008,158,7,0,True,-627.7867132212771,7948.063768881613,1916.0627632013466,873.0319444444445
0 days 00:00:09.853000,11087,139,7,0,True,-613.1631047564151,8024.522095328726,1916.7572973734514,880.7541666666667
0 days 00:00:09.904000,11078,131,7,0,True,-609.0,8042.0,1917.0,882.61
0 days 00:00:10.093000,11070,124,5,0,True,-591.5506692713253,8100.6016316170935,1917.9327909299473,889.12
0 days 00:00:10.124000,10510,118,5,0,True,-588.0,8110.0,1918.0,890.1361111111112
0 days 00:00:10.253000,9950,113,3,0,True,-570.588091836014,8149.477205571906,1917.8977587163524,894.1852777777779
0 days 00:00:10.344000,9440,109,3,0,True,-557.0,8175.0,1918.0,896.9405555555556
0 days 00:00:10.413000,8930,106,2,0,True,-546.5064251643902,8191.936258225682,1918.4039952672774,898.9722222222223
0 days 00:00:10.504000,8716,102,2,0,True,-532.0,8212.0,1919.0,901.5505555555555
0 days 00:00:10.614000,8502,99,2,0,True,-512.6639635822999,8234.543402473675,1919.1162302890618,904.5755555555555
0 days 00:00:10.705000,8189,96,2,0,True,-496.0,8251.0,1919.0,907.0022222222221
0 days 00:00:10.865000,7877,93,2,0,True,-466.0,8274.0,1919.0,911.1355555555555
0 days 00:00:10.933000,7565,91,2,0,False,-451.7247943325585,8282.066302124693,1919.276976166266,912.8544444444443
0 days 00:00:11.065000,7508,86,2,5,False,-422.0,8295.0,1920.0,916.0077777777776
0 days 00:00:11.333000,7451,82,2,10,False,-360.33467150084846,8310.746789501047,1920.0327351458563,922.112222222222
0 days 00:00:11.384000,7417,81,2,19,False,-348.0,8313.0,1920.0,923.2597222222221
0 days 00:00:11.573000,7384,81,2,28,False,-300.1138694183462,8321.728223941655,1920.0025151234265,927.5122222222221
0 days 00:00:11.604000,7462,82,2,35,False,-292.0,8324.0,1920.0,928.2183333333332
0 days 00:00:11.734000,7541,83,2,42,False,-257.2827146520062,8337.329594708077,1919.946793673501,931.2155555555555
0 days 00:00:11.934000,7336,84,2,0,False,-209.93816766038594,8363.608288039335,1919.94993342276,935.8822222222221
0 days 00:00:11.964000,7221,83,2,0,False,-205.0,8367.0,1920.0,936.5738888888889
0 days 00:00:12.133000,7107,83,2,0,True,-188.0593168486842,8383.202191346378,1920.53572101236,940.4702777777777
0 days 00:00:12.244000,6975,80,2,0,True,-180.0,8397.0,1921.0,942.9369444444444
0 days 00:00:12.373000,6843,77,2,0,True,-168.54984509798936,8420.476397417646,1921.5617759808456,945.696111111111
