Time,RPM,Speed,nGear,Throttle,Brake,X,Y,Z,Distance
0 days 00:00:00,11422,322,8,100,False,-1377,-736,1870,0.0
0 days 00:00:00.030000,11439,322,8,100,False,-1376,-710,1871,2.683333333333333
0 days 00:00:00.250000,11474,322,8,100,False,-1360,-513,1872,22.36111111111111
0 days 00:00:00.284000,11509,323,8,100,False,-1357,-482,1872,25.41166666666666
0 days 00:00:00.310000,11533,324,8,100,False,-1355,-460,1872,27.751666666666665
0 days 00:00:00.604000,11558,325,8,100,False,-1333,-218,1873,54.29333333333333
0 days 00:00:00.670000,11588,325,8,100,False,-1326,-137,1874,60.251666666666665
0 days 00:00:00.844000,11619,326,8,100,False,-1302,132,1875,76.00833333333333
0 days 00:00:00.890000,11632,327,8,100,False,-1298,187,1876,80.18666666666667
0 days 00:00:01.043000,11646,328,8,100,False,-1290,266,1876,94.12666666666667
0 days 00:00:01.169000,11671,329,8,100,False,-1286,314,1876,105.64166666666668
0 days 00:00:01.243000,11696,330,8,100,False,-1281,370,1876,112.42500000000003
0 days 00:00:01.389000,11720,330,8,100,False,-1269,515,1877,125.80833333333335
0 days 00:00:01.549000,11745,331,8,100,False,-1256,661,1878,140.51944444444445
0 days 00:00:01.723000,11770,332,8,100,False,-1242,819,1879,156.56611111111113
0 days 00:00:01.849000,11784,332,8,100,False,-1233,936,1880,168.1861111111111
0 days 00:00:01.883000,11798,332,8,100,False,-1230,967,1880,171.32166666666666
0 days 00:00:02.089000,11818,332,8,100,False,-1214,1157,1881,190.31944444444443
0 days 00:00:02.349000,11839,332,8,100,False,-1193,1397,1882,214.29722222222222
0 days 00:00:02.363000,11860,333,8,100,False,-1191,1415,1882,215.5922222222222
0 days 00:00:02.569000,11879,334,8,100,False,-1164,1730,1884,234.70444444444442
0 days 00:00:02.763000,11899,335,8,100,False,-1143,1970,1885,252.7572222222222
0 days 00:00:03.569000,11959,336,8,100,False,-1099,2492,1888,327.9838888888889
0 days 00:00:03.603000,12020,338,8,100,False,-1096,2520,1888,331.17611111111114
0 days 00:00:03.789000,12024,338,8,100,False,-1081,2692,1889,348.63944444444445
0 days 00:00:03.989000,12029,338,8,100,False,-1065,2880,1890,367.4172222222222
0 days 00:00:04.003000,12034,339,8,100,False,-1063,2892,1890,368.73555555555555
0 days 00:00:04.283000,12034,339,8,100,False,-1041,3153,1890,395.1022222222222
0 days 00:00:04.289000,12048,339,8,100,False,-1041,3161,1891,395.66722222222216
0 days 00:00:04.443000,12063,339,8,100,False,-1020,3395,1891,410.16888888888883
0 days 00:00:04.489000,12067,339,8,100,False,-1015,3461,1892,414.50055555555554
0 days 00:00:04.603000,12072,340,8,100,False,-1003,3595,1892,425.2672222222222
0 days 00:00:04.763000,12082,340,8,100,False,-992,3722,1894,440.37833333333333
0 days 00:00:04.909000,12096,340,8,100,False,-984,3819,1895,454.1672222222222
0 days 00:00:05.123000,12110,341,8,100,False,-972,3954,1894,474.4377777777778
0 days 00:00:05.190000,12110,340,8,100,False,-968,4008,1895,480.7655555555556
0 days 00:00:05.283000,12110,340,8,100,False,-960,4097,1895,489.5488888888889
0 days 00:00:05.530000,12107,340,8,100,False,-937,4366,1897,512.8766666666667
0 days 00:00:05.603000,12104,341,8,100,False,-931,4429,1897,519.7913888888888
