Time,RPM,Speed,nGear,Throttle,Brake,X,Y,Z
0 days 00:00:00,10889,271,6,100,FALSE,-1654.629375,1343.976243,1963.847997
0 days 00:00:00.210000,10897,273,7,100,FALSE,-1595.415991,1418.640659,1963.961008
0 days 00:00:00.375000,10982,275,7,100,FALSE,-1531,1499,1965
0 days 00:00:00.475000,11068,278,7,100,FALSE,-1483,1559,1966
0 days 00:00:00.775000,11153,281,7,100,FALSE,-1284,1820,1969
0 days 00:00:01.155000,11239,283,7,100,FALSE,-1163,1987,1971
0 days 00:00:01.475000,11324,286,7,100,FALSE,-1011,2195,1973
0 days 00:00:01.515000,11410,289,7,100,FALSE,-992,2222,1974
0 days 00:00:01.530000,11496,292,7,100,FALSE,-984.8957081,2232.042978,1974.34915
0 days 00:00:01.850000,11693,296,7,100,FALSE,-825.7285647,2449.169226,1977.53055
0 days 00:00:01.895000,11203,296,7,100,FALSE,-799,2486,1978
0 days 00:00:02.049000,10713,297,7,100,FALSE,-696.5484988,2629.082777,1980.25815
0 days 00:00:02.215000,10744,299,7,100,FALSE,-588,2783,1983
0 days 00:00:02.329000,10775,301,8,100,FALSE,-528.0803885,2869.260124,1984.537901
0 days 00:00:02.675000,10799,302,8,100,FALSE,-399,3061,1988
0 days 00:00:02.690000,10823,304,8,100,FALSE,-394.0392644,3068.477225,1988.138818
0 days 00:00:02.970000,10871,306,8,100,FALSE,-298.1075181,3213.816019,1990.936293
0 days 00:00:02.975000,10903,306,8,100,FALSE,-296,3217,1991
0 days 00:00:03.194000,10935,306,8,100,FALSE,-192,3373,1994
0 days 00:00:03.289000,10967,307,8,100,FALSE,-149.9207167,3434.584761,1994.823177
0 days 00:00:03.414000,11006,309,8,100,FALSE,-84,3527,1996
0 days 00:00:03.649000,11045,311,8,100,FALSE,106.5476975,3781.685934,2000.563346
0 days 00:00:03.674000,11059,311,8,100,FALSE,122,3802,2001
0 days 00:00:03.810000,11074,311,8,100,FALSE,174.1491168,3869.156504,2002.847585
0 days 00:00:03.994000,11108,312,8,100,FALSE,221,3922,2005
0 days 00:00:04.050000,11142,313,8,100,FALSE,247.8531728,3952.179938,2005.886605
0 days 00:00:04.210000,11114,313,8,100,FALSE,345.6472896,4060.696187,2008.652121
0 days 00:00:04.235000,11115,313,8,100,FALSE,360,4076,2009
0 days 00:00:04.490000,11117,313,8,100,FALSE,487.0755434,4197.698269,2010.900987
0 days 00:00:04.555000,11111,313,8,100,FALSE,525,4229,2011
0 days 00:00:04.675000,11105,313,8,100,FALSE,606,4291,2011
0 days 00:00:04.690000,11099,313,8,100,FALSE,616.5748016,4298.355518,2011.042982
0 days 00:00:04.935000,11095,312,8,100,FALSE,798,4399,2013
0 days 00:00:04.970000,11091,312,8,100,FALSE,825.5171917,4410.930865,2013.229265
